event_id,trigger_time_utc,goes_file,goes_time_utc,delta_goes_min,match_status
ATTO_2025_0001,2025-01-01 02:29:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501010230.nc,2025-01-01 02:30:00,1.0,ok
ATTO_2025_0002,2025-01-01 02:47:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501010250.nc,2025-01-01 02:50:00,3.0,ok
ATTO_2025_0003,2025-01-01 05:15:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501010510.nc,2025-01-01 05:10:00,-5.0,ok
ATTO_2025_0004,2025-01-01 05:54:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501010550.nc,2025-01-01 05:50:00,-4.0,ok
ATTO_2025_0005,2025-01-01 07:50:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501010750.nc,2025-01-01 07:50:00,0.0,ok
ATTO_2025_0006,2025-01-01 10:29:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011030.nc,2025-01-01 10:30:00,1.0,ok
ATTO_2025_0007,2025-01-01 12:43:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011240.nc,2025-01-01 12:40:00,-3.0,ok
ATTO_2025_0008,2025-01-01 13:26:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011330.nc,2025-01-01 13:30:00,4.0,ok
ATTO_2025_0009,2025-01-01 13:35:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011330.nc,2025-01-01 13:30:00,-5.0,ok
ATTO_2025_0010,2025-01-01 14:02:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011400.nc,2025-01-01 14:00:00,-2.0,ok
ATTO_2025_0011,2025-01-01 15:08:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011510.nc,2025-01-01 15:10:00,2.0,ok
ATTO_2025_0012,2025-01-01 15:42:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011540.nc,2025-01-01 15:40:00,-2.0,ok
ATTO_2025_0013,2025-01-01 16:11:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011610.nc,2025-01-01 16:10:00,-1.0,ok
ATTO_2025_0014,2025-01-01 17:41:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011740.nc,2025-01-01 17:40:00,-1.0,ok
ATTO_2025_0015,2025-01-01 18:25:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011820.nc,2025-01-01 18:20:00,-5.0,ok
ATTO_2025_0016,2025-01-01 18:45:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501011840.nc,2025-01-01 18:40:00,-5.0,ok
ATTO_2025_0017,2025-01-01 19:58:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501012000.nc,2025-01-01 20:00:00,2.0,ok
ATTO_2025_0018,2025-01-01 22:22:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501012220.nc,2025-01-01 22:20:00,-2.0,ok
ATTO_2025_0019,2025-01-01 23:57:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501020000.nc,2025-01-02 00:00:00,3.0,ok
ATTO_2025_0020,2025-01-02 00:35:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501020030.nc,2025-01-02 00:30:00,-5.0,ok
ATTO_2025_0021,2025-01-02 00:57:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501020100.nc,2025-01-02 01:00:00,3.0,ok
ATTO_2025_0022,2025-01-02 02:09:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501020210.nc,2025-01-02 02:10:00,1.0,ok
ATTO_2025_0023,2025-01-02 02:47:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501020250.nc,2025-01-02 02:50:00,3.0,ok
ATTO_2025_0024,2025-01-02 02:57:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501020300.nc,2025-01-02 03:00:00,3.0,ok
ATTO_2025_0025,2025-01-02 04:27:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501020430.nc,2025-01-02 04:30:00,3.0,ok
ATTO_2025_0026,2025-01-02 07:26:00,https://ftp.cptec.inpe.br/goes/goes16/retangular/ch13/2025/01/S10635346_202501020730.nc,2025-01-02 07:30:00,4.0,ok
